case_id,category,difficulty,overall_score,error,answer
nvda_10q_inventory_purchase_obligations_013,factual_extraction,hard,0.825,,[Response text omitted from public export; original fingerprint in answer_sha256]
nvda_10k_risk_supply_summary_016,cited_summary,medium,0.825,,[Response text omitted from public export; original fingerprint in answer_sha256]
jpm_10k_credit_risk_summary_019,cited_summary,medium,0.7666666666666666,,[Response text omitted from public export; original fingerprint in answer_sha256]
xom_10k_liquidity_summary_020,cited_summary,easy,0.825,,[Response text omitted from public export; original fingerprint in answer_sha256]
tsla_10k_energy_summary_021,cited_summary,medium,0.825,,[Response text omitted from public export; original fingerprint in answer_sha256]
nvda_10q_customer_concentration_summary_022,cited_summary,hard,0.65,,[Response text omitted from public export; original fingerprint in answer_sha256]
aapl_10q_liquidity_summary_023,cited_summary,easy,0.65,,[Response text omitted from public export; original fingerprint in answer_sha256]
msft_10q_segment_summary_024,cited_summary,medium,0.65,,[Response text omitted from public export; original fingerprint in answer_sha256]
msft_10k_10q_ai_capex_bridge_028,multi_document_synthesis,hard,0.825,,[Response text omitted from public export; original fingerprint in answer_sha256]
jpm_10k_10q_credit_bridge_029,multi_document_synthesis,hard,0.65,,[Response text omitted from public export; original fingerprint in answer_sha256]
xom_10k_10q_cash_flow_bridge_030,multi_document_synthesis,medium,0.825,,[Response text omitted from public export; original fingerprint in answer_sha256]
tsla_10k_10q_margin_bridge_031,multi_document_synthesis,hard,0.8833333333333333,,[Response text omitted from public export; original fingerprint in answer_sha256]
nvda_10q_transcript_supply_bridge_032,multi_document_synthesis,hard,0.65,,[Response text omitted from public export; original fingerprint in answer_sha256]
aapl_10q_transcript_geography_bridge_033,multi_document_synthesis,medium,0.825,,[Response text omitted from public export; original fingerprint in answer_sha256]
msft_10q_transcript_cloud_bridge_034,multi_document_synthesis,medium,0.65,,[Response text omitted from public export; original fingerprint in answer_sha256]
nvda_tsla_supply_chain_comparison_040,company_comparison,hard,0.825,,[Response text omitted from public export; original fingerprint in answer_sha256]
