case_id,category,difficulty,overall_score,error,answer
nvda_10k_datacenter_revenue_001,factual_extraction,easy,0.42499999999999993,,"Data Center revenue was the largest revenue category in fiscal 2025, supported by demand for generative AI training and inference, cloud service provider deployments, and enterprise AI adoption. RECENT PERFORMANCE Fiscal 2025 revenue grew sharply as Data Center compute and networking products scaled across hyperscale and enterprise customers. MARGIN ANALYSIS Gross margin expanded in fiscal 2025 because the product mix shifted toward higher-value accelerated computing platforms and software-rich systems. The company also benefited from operating leverage as revenue growth outpaced increases in operating expenses. [1] [2]"
nvda_10k_gross_margin_drivers_002,factual_extraction,medium,0.42499999999999993,,"MARGIN ANALYSIS Gross margin expanded in fiscal 2025 because the product mix shifted toward higher-value accelerated computing platforms and software-rich systems. Management noted that future margin can vary with product mix, new product ramps, component costs, and supply chain conditions. RISK FACTORS NVIDIA faces risks from export controls, supply concentration, foundry capacity constraints, rapid technology transitions, customer concentration, competition from custom accelerators, and volatility in end-market demand. MARGIN AND SUPPLY Management said gross margin was supported by mix and scale but could fluctuate during new architecture ramps. [1] [2]"
aapl_10k_services_growth_003,factual_extraction,easy,0.16999999999999998,"Client error '404 Not Found' for url 'https://equity-research-copilot.vercel.app/api/research/chat'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",
aapl_10k_iphone_net_sales_004,factual_extraction,easy,0.16999999999999998,"Client error '404 Not Found' for url 'https://equity-research-copilot.vercel.app/api/research/chat'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",
msft_10k_cloud_revenue_005,factual_extraction,easy,0.42499999999999993,,"Microsoft 365 commercial seats and average revenue per user improved as customers adopted premium security, analytics, and Copilot features. RECENT PERFORMANCE Fiscal 2025 revenue increased as cloud services, Microsoft 365 commercial subscriptions, security, and AI infrastructure demand expanded. MANAGEMENT COMMENTARY Management said Q3 FY2026 cloud demand remained healthy, with Azure AI services contributing to consumption growth. GROWTH DRIVERS Growth drivers included Azure migrations, AI model hosting, Copilot adoption, security consolidation, and Dynamics workflow automation. [1] [2]"
msft_10k_capex_ai_006,factual_extraction,medium,0.42499999999999993,,"RECENT PERFORMANCE Fiscal 2025 revenue increased as cloud services, Microsoft 365 commercial subscriptions, security, and AI infrastructure demand expanded. Management said capital expenditures rose to support cloud and AI demand. CAPITAL ALLOCATION Microsoft returned cash through dividends and share repurchases while continuing to invest heavily in data centers, AI infrastructure, security, and product engineering. MARGIN ANALYSIS Operating margin benefited from scale in cloud and software subscriptions, but gross margin pressure appeared in AI infrastructure because depreciation, data center power, and capacity costs increased. [1] [2]"
jpm_10k_net_interest_income_007,factual_extraction,easy,0.16999999999999998,"Client error '404 Not Found' for url 'https://equity-research-copilot.vercel.app/api/research/chat'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",
jpm_10k_credit_loss_provision_008,factual_extraction,medium,0.16999999999999998,"Client error '404 Not Found' for url 'https://equity-research-copilot.vercel.app/api/research/chat'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",
xom_10k_upstream_earnings_009,factual_extraction,medium,0.16999999999999998,"Client error '404 Not Found' for url 'https://equity-research-copilot.vercel.app/api/research/chat'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",
xom_10k_capex_low_carbon_010,factual_extraction,hard,0.16999999999999998,"Client error '404 Not Found' for url 'https://equity-research-copilot.vercel.app/api/research/chat'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",
tsla_10k_automotive_revenue_011,factual_extraction,easy,0.16999999999999998,"Client error '404 Not Found' for url 'https://equity-research-copilot.vercel.app/api/research/chat'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",
tsla_10k_margin_pressure_012,factual_extraction,medium,0.16999999999999998,"Client error '404 Not Found' for url 'https://equity-research-copilot.vercel.app/api/research/chat'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",
nvda_10q_inventory_purchase_obligations_013,factual_extraction,hard,0.42499999999999993,,"CAPITAL ALLOCATION NVIDIA generated strong operating cash flow and used cash for inventory commitments, capital expenditures, share repurchases, and strategic investments. RISK FACTORS NVIDIA faces risks from export controls, supply concentration, foundry capacity constraints, rapid technology transitions, customer concentration, competition from custom accelerators, and volatility in end-market demand. BUSINESS OVERVIEW NVIDIA designs accelerated computing platforms that combine GPUs, networking, systems, software, and development libraries. RISKS AND OUTLOOK The outlook depended on customer data center build schedules, export restrictions, competitive alternatives, and the pace at which enterprises convert AI pilots into production workloads. [1] [2]"
aapl_10q_geographic_sales_014,factual_extraction,medium,0.16999999999999998,"Client error '404 Not Found' for url 'https://equity-research-copilot.vercel.app/api/research/chat'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",
msft_10q_remaining_performance_obligations_015,factual_extraction,hard,0.25,,"RECENT PERFORMANCE Fiscal 2025 revenue increased as cloud services, Microsoft 365 commercial subscriptions, security, and AI infrastructure demand expanded. Microsoft 365 commercial seats and average revenue per user improved as customers adopted premium security, analytics, and Copilot features. RISKS AND OUTLOOK The outlook depended on enterprise IT budgets, data center execution, regulatory requirements, cybersecurity performance, and the rate of Copilot monetization. BUSINESS OVERVIEW Microsoft develops software, cloud services, devices, gaming content, and business applications. [1] [2]"
nvda_10k_risk_supply_summary_016,cited_summary,medium,0.25,,"The company maintained flexibility to support supply chain capacity and long-term research and development. RISK FACTORS NVIDIA faces risks from export controls, supply concentration, foundry capacity constraints, rapid technology transitions, customer concentration, competition from custom accelerators, and volatility in end-market demand. Management noted that future margin can vary with product mix, new product ramps, component costs, and supply chain conditions. BUSINESS OVERVIEW NVIDIA designs accelerated computing platforms that combine GPUs, networking, systems, software, and development libraries. [1] [2]"
aapl_10k_services_summary_017,cited_summary,easy,0.16999999999999998,"Client error '404 Not Found' for url 'https://equity-research-copilot.vercel.app/api/research/chat'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",
msft_10k_ai_infrastructure_summary_018,cited_summary,medium,0.42499999999999993,,"RECENT PERFORMANCE Fiscal 2025 revenue increased as cloud services, Microsoft 365 commercial subscriptions, security, and AI infrastructure demand expanded. CAPITAL ALLOCATION Microsoft returned cash through dividends and share repurchases while continuing to invest heavily in data centers, AI infrastructure, security, and product engineering. MARGIN ANALYSIS Operating margin benefited from scale in cloud and software subscriptions, but gross margin pressure appeared in AI infrastructure because depreciation, data center power, and capacity costs increased. RISK FACTORS Microsoft faces risks from cybersecurity incidents, regulatory scrutiny, cloud capacity execution, competition, customer concentration in large cloud contracts, and the need to monetize AI investments. [1] [2]"
jpm_10k_credit_risk_summary_019,cited_summary,medium,0.16999999999999998,"Client error '404 Not Found' for url 'https://equity-research-copilot.vercel.app/api/research/chat'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",
xom_10k_liquidity_summary_020,cited_summary,easy,0.16999999999999998,"Client error '404 Not Found' for url 'https://equity-research-copilot.vercel.app/api/research/chat'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",
tsla_10k_energy_summary_021,cited_summary,medium,0.16999999999999998,"Client error '404 Not Found' for url 'https://equity-research-copilot.vercel.app/api/research/chat'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",
nvda_10q_customer_concentration_summary_022,cited_summary,hard,0.25,,"RISK FACTORS NVIDIA faces risks from export controls, supply concentration, foundry capacity constraints, rapid technology transitions, customer concentration, competition from custom accelerators, and volatility in end-market demand. BUSINESS OVERVIEW NVIDIA designs accelerated computing platforms that combine GPUs, networking, systems, software, and development libraries. Management described supply availability, product transitions, and customer deployment timing as important factors for near-term revenue conversion. CAPITAL ALLOCATION NVIDIA generated strong operating cash flow and used cash for inventory commitments, capital expenditures, share repurchases, and strategic investments. [1]"
aapl_10q_liquidity_summary_023,cited_summary,easy,0.16999999999999998,"Client error '404 Not Found' for url 'https://equity-research-copilot.vercel.app/api/research/chat'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",
msft_10q_segment_summary_024,cited_summary,medium,0.42499999999999993,,"BUSINESS OVERVIEW Microsoft develops software, cloud services, devices, gaming content, and business applications. Intelligent Cloud and Productivity and Business Processes were major profit contributors in fiscal 2025, supported by Azure, Microsoft 365, Dynamics, LinkedIn, and security products. RECENT PERFORMANCE Fiscal 2025 revenue increased as cloud services, Microsoft 365 commercial subscriptions, security, and AI infrastructure demand expanded. CAPITAL ALLOCATION Microsoft returned cash through dividends and share repurchases while continuing to invest heavily in data centers, AI infrastructure, security, and product engineering. [1] [2]"
jpm_10q_capital_summary_025,cited_summary,hard,0.16999999999999998,"Client error '404 Not Found' for url 'https://equity-research-copilot.vercel.app/api/research/chat'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",
nvda_10k_10q_revenue_bridge_026,multi_document_synthesis,hard,0.42499999999999993,,"Data Center revenue was the largest revenue category in fiscal 2025, supported by demand for generative AI training and inference, cloud service provider deployments, and enterprise AI adoption. RECENT PERFORMANCE Fiscal 2025 revenue grew sharply as Data Center compute and networking products scaled across hyperscale and enterprise customers. The company also benefited from operating leverage as revenue growth outpaced increases in operating expenses. A disruption at a key supplier or a change in trade rules could reduce the ability to fulfill Data Center demand. [1] [2]"
aapl_10k_10q_services_bridge_027,multi_document_synthesis,medium,0.16999999999999998,"Client error '404 Not Found' for url 'https://equity-research-copilot.vercel.app/api/research/chat'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",
