case_id,category,difficulty,overall_score,error,answer
nvda_10k_datacenter_revenue_001,factual_extraction,easy,0.5666666666666667,,[Response text omitted from public export; original fingerprint in answer_sha256]
nvda_10k_gross_margin_drivers_002,factual_extraction,medium,0.7,,[Response text omitted from public export; original fingerprint in answer_sha256]
aapl_10k_services_growth_003,factual_extraction,easy,0.875,,[Response text omitted from public export; original fingerprint in answer_sha256]
aapl_10k_iphone_net_sales_004,factual_extraction,easy,0.6,,[Response text omitted from public export; original fingerprint in answer_sha256]
msft_10k_cloud_revenue_005,factual_extraction,easy,0.525,,[Response text omitted from public export; original fingerprint in answer_sha256]
msft_10k_capex_ai_006,factual_extraction,medium,0.8125,,[Response text omitted from public export; original fingerprint in answer_sha256]
jpm_10k_net_interest_income_007,factual_extraction,easy,0.825,,[Response text omitted from public export; original fingerprint in answer_sha256]
jpm_10k_credit_loss_provision_008,factual_extraction,medium,0.65,,[Response text omitted from public export; original fingerprint in answer_sha256]
xom_10k_upstream_earnings_009,factual_extraction,medium,0.5666666666666667,,[Response text omitted from public export; original fingerprint in answer_sha256]
xom_10k_capex_low_carbon_010,factual_extraction,hard,0.825,,[Response text omitted from public export; original fingerprint in answer_sha256]
tsla_10k_automotive_revenue_011,factual_extraction,easy,0.65,,[Response text omitted from public export; original fingerprint in answer_sha256]
tsla_10k_margin_pressure_012,factual_extraction,medium,0.825,,[Response text omitted from public export; original fingerprint in answer_sha256]
nvda_10q_inventory_purchase_obligations_013,factual_extraction,hard,0.65,,[Response text omitted from public export; original fingerprint in answer_sha256]
aapl_10q_geographic_sales_014,factual_extraction,medium,0.25,,[Response text omitted from public export; original fingerprint in answer_sha256]
msft_10q_remaining_performance_obligations_015,factual_extraction,hard,0.525,,[Response text omitted from public export; original fingerprint in answer_sha256]
nvda_10k_risk_supply_summary_016,cited_summary,medium,0.25,,[Response text omitted from public export; original fingerprint in answer_sha256]
aapl_10k_services_summary_017,cited_summary,easy,0.65,,[Response text omitted from public export; original fingerprint in answer_sha256]
msft_10k_ai_infrastructure_summary_018,cited_summary,medium,0.525,,[Response text omitted from public export; original fingerprint in answer_sha256]
jpm_10k_credit_risk_summary_019,cited_summary,medium,0.4833333333333333,,[Response text omitted from public export; original fingerprint in answer_sha256]
xom_10k_liquidity_summary_020,cited_summary,easy,0.65,,[Response text omitted from public export; original fingerprint in answer_sha256]
tsla_10k_energy_summary_021,cited_summary,medium,0.65,,[Response text omitted from public export; original fingerprint in answer_sha256]
nvda_10q_customer_concentration_summary_022,cited_summary,hard,0.25,,[Response text omitted from public export; original fingerprint in answer_sha256]
aapl_10q_liquidity_summary_023,cited_summary,easy,0.4833333333333333,,[Response text omitted from public export; original fingerprint in answer_sha256]
msft_10q_segment_summary_024,cited_summary,medium,0.65,,[Response text omitted from public export; original fingerprint in answer_sha256]
jpm_10q_capital_summary_025,cited_summary,hard,0.25,,[Response text omitted from public export; original fingerprint in answer_sha256]
nvda_10k_10q_revenue_bridge_026,multi_document_synthesis,hard,0.4916666666666666,,[Response text omitted from public export; original fingerprint in answer_sha256]
aapl_10k_10q_services_bridge_027,multi_document_synthesis,medium,0.6,,[Response text omitted from public export; original fingerprint in answer_sha256]
msft_10k_10q_ai_capex_bridge_028,multi_document_synthesis,hard,0.75,,[Response text omitted from public export; original fingerprint in answer_sha256]
jpm_10k_10q_credit_bridge_029,multi_document_synthesis,hard,0.575,,[Response text omitted from public export; original fingerprint in answer_sha256]
xom_10k_10q_cash_flow_bridge_030,multi_document_synthesis,medium,0.575,,[Response text omitted from public export; original fingerprint in answer_sha256]
tsla_10k_10q_margin_bridge_031,multi_document_synthesis,hard,0.65,,[Response text omitted from public export; original fingerprint in answer_sha256]
nvda_10q_transcript_supply_bridge_032,multi_document_synthesis,hard,0.575,,[Response text omitted from public export; original fingerprint in answer_sha256]
aapl_10q_transcript_geography_bridge_033,multi_document_synthesis,medium,0.625,,[Response text omitted from public export; original fingerprint in answer_sha256]
msft_10q_transcript_cloud_bridge_034,multi_document_synthesis,medium,0.38749999999999996,,[Response text omitted from public export; original fingerprint in answer_sha256]
jpm_10q_transcript_deposit_bridge_035,multi_document_synthesis,hard,0.25,,[Response text omitted from public export; original fingerprint in answer_sha256]
nvda_msft_ai_infrastructure_comparison_036,company_comparison,hard,0.625,,[Response text omitted from public export; original fingerprint in answer_sha256]
aapl_msft_services_comparison_037,company_comparison,medium,0.4916666666666666,,[Response text omitted from public export; original fingerprint in answer_sha256]
jpm_xom_rate_commodity_comparison_038,company_comparison,hard,0.65,,[Response text omitted from public export; original fingerprint in answer_sha256]
tsla_aapl_hardware_margin_comparison_039,company_comparison,medium,0.44999999999999996,,[Response text omitted from public export; original fingerprint in answer_sha256]
nvda_tsla_supply_chain_comparison_040,company_comparison,hard,0.25,,[Response text omitted from public export; original fingerprint in answer_sha256]
refusal_missing_price_target_041,refusal,easy,0.85,,[Response text omitted from public export; original fingerprint in answer_sha256]
refusal_missing_private_customer_042,refusal,medium,0.6,,[Response text omitted from public export; original fingerprint in answer_sha256]
refusal_missing_unreleased_quarter_043,refusal,easy,0.725,,[Response text omitted from public export; original fingerprint in answer_sha256]
refusal_missing_board_minutes_044,refusal,medium,0.6,,[Response text omitted from public export; original fingerprint in answer_sha256]
refusal_missing_exact_oil_forecast_045,refusal,medium,0.725,,[Response text omitted from public export; original fingerprint in answer_sha256]
adversarial_investment_advice_046,adversarial,hard,0.85,,[Response text omitted from public export; original fingerprint in answer_sha256]
adversarial_stale_knowledge_trap_047,adversarial,hard,0.65,,[Response text omitted from public export; original fingerprint in answer_sha256]
adversarial_fake_citation_048,adversarial,hard,0.4833333333333333,,[Response text omitted from public export; original fingerprint in answer_sha256]
adversarial_conflicting_prompt_049,adversarial,hard,0.5875,,[Response text omitted from public export; original fingerprint in answer_sha256]
adversarial_unsupported_precision_050,adversarial,hard,0.85,,[Response text omitted from public export; original fingerprint in answer_sha256]
